random,clustering_coeff,clustering_coeff_neg,community_detection,truncate_svd_sum10,truncate_svd_max50,degree,degree_neg,agg1,agg2,agg_max,eps,deg_cutoff_rate,dataset,synthetic_algo,iter,non_private
0.4852,0.3655,0.6343,0.4914,0.0,0.2814,0.0,1.0,0.0039,0.0,0.2986,2.0,1.0,yelp,sbm_dp,1,False
0.4827,0.0029,0.2519,0.4249,0.0,0.0,0.2695,0.4853,0.0124,0.2389,0.0,2.0,1.0,yelp,attr_graph_simp,1,False
0.497,0.2048,0.7889,0.5353,0.0,0.0,0.2321,0.7679,0.2759,0.7654,0.0,2.0,1.0,yelp,attr_graph,1,False
0.4995,0.4916,0.5067,0.3088,0.5139,0.5138,0.4953,0.4742,0.5124,0.4994,0.5144,2.0,1.0,yelp,topmfilter,1,False
0.4251,0.4118,0.5882,0.9998,0.0,0.2704,0.0,1.0,0.0031,0.0,0.8865,2.0,1.0,elliptic,sbm_dp,1,False
0.4415,0.0,0.0,0.5233,0.0,0.0,0.0,0.5234,0.0,0.0,0.0,2.0,1.0,elliptic,attr_graph_simp,1,False
0.5736,0.0105,0.0312,0.1674,0.0,0.0,0.1937,0.1769,0.0,0.0,0.0,2.0,1.0,elliptic,attr_graph,1,False
0.5397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,elliptic,topmfilter,1,False
0.5062,0.4281,0.5717,0.4413,0.0,0.3487,0.0,1.0,0.0088,0.0,0.386,2.0,1.0,amazon_sbm,sbm_dp,1,False
0.4881,0.278,0.6596,0.6101,0.0,0.0,0.0356,0.9634,0.0347,0.9376,0.0,2.0,1.0,amazon_sbm,attr_graph_simp,1,False
0.4974,0.0346,0.0354,0.2457,0.0,0.0,0.1601,0.6457,0.0,0.0,0.0,2.0,1.0,amazon_sbm,attr_graph,1,False
0.5045,0.497,0.5004,0.2548,0.4987,0.5092,0.4832,0.4831,0.4949,0.4963,0.509,2.0,1.0,amazon_sbm,topmfilter,1,False
0.4622,0.0,0.0553,0.1421,0.6105,0.3986,0.5405,0.3532,0.5915,0.405,0.4218,2.0,1.0,peer_review_sbm,sbm_dp,1,False
0.4686,0.0,0.0019,0.2238,0.5348,0.484,0.4801,0.3285,0.2295,0.2454,0.2656,2.0,1.0,peer_review_sbm,topmfilter,1,False
