random,clustering_coeff,clustering_coeff_neg,community_detection,truncate_svd_sum10,truncate_svd_max50,degree,degree_neg,agg1,agg2,agg_max,eps,deg_cutoff_rate,dataset,synthetic_algo,iter,non_private
0.5033,0.3613,0.6386,0.4927,0.0,0.2716,0.0,1.0,0.0051,0.0,0.2909,2.0,1.0,yelp,sbm_dp,3,False
0.4969,0.0,0.1073,0.3142,0.0,0.0,0.2167,0.3312,0.0,0.0,0.0,2.0,1.0,yelp,attr_graph_simp,3,False
0.5077,0.036,0.9506,0.5819,0.0,0.0,0.0072,0.9927,0.0111,0.9866,0.0,2.0,1.0,yelp,attr_graph,3,False
0.4952,0.5006,0.4978,0.3097,0.5045,0.4854,0.4897,0.4808,0.5091,0.5036,0.4864,2.0,1.0,yelp,topmfilter,3,False
0.4607,0.0,0.0,0.0793,0.1095,0.1173,0.1067,0.0828,0.0,0.0,0.0,2.0,1.0,elliptic,sbm_dp,3,False
0.4004,0.0623,0.799,0.966,0.0,0.0,0.0239,0.9761,0.2275,0.8613,0.0,2.0,1.0,elliptic,attr_graph_simp,3,False
0.5632,0.0,0.0,0.6039,0.0,0.0,0.0,0.6039,0.0,0.0,0.0,2.0,1.0,elliptic,attr_graph,3,False
0.5608,0.0584,0.0285,0.0611,0.5541,0.4751,0.4747,0.4067,0.5328,0.4646,0.4744,2.0,1.0,elliptic,topmfilter,3,False
0.506,0.4175,0.5822,0.4382,0.0,0.3599,0.0,1.0,0.0099,0.0,0.3978,2.0,1.0,amazon_sbm,sbm_dp,3,False
0.4949,0.0219,0.0807,0.2978,0.0,0.0,0.2073,0.3315,0.0,0.0,0.0,2.0,1.0,amazon_sbm,attr_graph_simp,3,False
0.5084,0.0119,0.0413,0.2215,0.0,0.0,0.1746,0.2336,0.0,0.0,0.0,2.0,1.0,amazon_sbm,attr_graph,3,False
0.5026,0.499,0.4985,0.2568,0.5059,0.5115,0.4896,0.4767,0.5032,0.5008,0.5085,2.0,1.0,amazon_sbm,topmfilter,3,False
0.4059,0.0008,0.0004,0.004,0.9475,0.8524,0.9545,0.0061,0.0,0.0,0.0,2.0,1.0,peer_review_sbm,sbm_dp,3,False
0.5506,0.0,0.0,0.1995,0.5822,0.5661,0.4348,0.3171,0.0,0.0,0.0,2.0,1.0,peer_review_sbm,topmfilter,3,False
