random,clustering_coeff,clustering_coeff_neg,community_detection,truncate_svd_sum10,truncate_svd_max50,degree,degree_neg,agg1,agg2,agg_max,eps,deg_cutoff_rate,dataset,synthetic_algo,iter,non_private
0.51,0.3803,0.6196,0.4848,0.0,0.2751,0.0,1.0,0.0054,0.0,0.2917,5.0,1.0,yelp,sbm_dp,2,False
0.5019,0.0007,0.9988,0.6636,0.0,0.0,0.0012,0.9988,0.0025,0.9988,0.0,5.0,1.0,yelp,attr_graph_simp,2,False
0.5012,0.0069,0.0152,0.1368,0.0,0.0,0.1326,0.1424,0.0,0.0,0.0,5.0,1.0,yelp,attr_graph,2,False
0.5185,0.4937,0.5048,0.2886,0.5032,0.4853,0.4864,0.4836,0.4863,0.4898,0.4833,5.0,1.0,yelp,topmfilter,2,False
0.4467,0.0,0.1176,1.0,0.0,0.009,0.0,1.0,0.0,0.1176,0.1176,5.0,1.0,elliptic,sbm_dp,2,False
0.4431,0.4144,0.5081,0.0792,0.0,0.0,0.9385,0.0603,0.7935,0.0026,0.0,5.0,1.0,elliptic,attr_graph_simp,2,False
0.4064,0.0,0.0,0.4415,0.0,0.0,0.0,0.4429,0.0,0.0,0.0,5.0,1.0,elliptic,attr_graph,2,False
0.5185,0.0,0.0,0.2106,0.6146,0.4587,0.4935,0.3283,0.0,0.0,0.0,5.0,1.0,elliptic,topmfilter,2,False
0.4956,0.4253,0.5745,0.4277,0.0,0.366,0.0,1.0,0.0073,0.0,0.405,5.0,1.0,amazon_sbm,sbm_dp,2,False
0.5,0.418,0.5781,0.4843,0.0,0.0,0.0107,0.9881,0.1796,0.9862,0.0,5.0,1.0,amazon_sbm,attr_graph_simp,2,False
0.5029,0.3291,0.668,0.6334,0.0,0.0,0.0057,0.9943,0.0307,0.9931,0.0,5.0,1.0,amazon_sbm,attr_graph,2,False
0.5038,0.5005,0.4967,0.2601,0.4878,0.4859,0.4695,0.4962,0.4883,0.484,0.4836,5.0,1.0,amazon_sbm,topmfilter,2,False
0.562,0.0,0.0012,0.0326,0.935,0.1867,0.9116,0.0382,0.5371,0.0573,0.1073,5.0,1.0,peer_review_sbm,sbm_dp,2,False
0.4519,0.0,0.0013,0.1553,0.4908,0.4695,0.3713,0.4015,0.0,0.0,0.0,5.0,1.0,peer_review_sbm,topmfilter,2,False
