random,clustering_coeff,clustering_coeff_neg,community_detection,truncate_svd_sum10,truncate_svd_max50,degree,degree_neg,agg1,agg2,agg_max,eps,deg_cutoff_rate,dataset,synthetic_algo,iter,non_private
0.4998,0.3486,0.6514,0.4859,0.0,0.2765,0.0,1.0,0.0074,0.1756,0.2981,5.0,1.0,yelp,sbm_dp,5,False
0.4997,0.0033,0.1094,0.3043,0.0,0.0,0.2457,0.3131,0.0,0.0,0.0,5.0,1.0,yelp,attr_graph_simp,5,False
0.5024,0.0242,0.0453,0.2298,0.0,0.0,0.2007,0.257,0.0,0.0,0.0,5.0,1.0,yelp,attr_graph,5,False
0.5043,0.4938,0.5047,0.2977,0.4963,0.508,0.483,0.4876,0.4969,0.4947,0.5057,5.0,1.0,yelp,topmfilter,5,False
0.414,0.1176,0.3529,0.9999,0.0,0.0168,0.0,1.0,0.0239,0.4706,0.2962,5.0,1.0,elliptic,sbm_dp,5,False
0.4377,0.5627,0.4148,0.0165,0.0,0.0,0.9859,0.0141,0.6969,0.0141,0.0,5.0,1.0,elliptic,attr_graph_simp,5,False
0.4376,0.0887,0.1182,0.5015,0.0,0.0,0.2049,0.5024,0.0,0.0,0.0,5.0,1.0,elliptic,attr_graph,5,False
0.5458,0.0,0.0044,0.052,0.3851,0.553,0.3566,0.5083,0.289,0.4578,0.4074,5.0,1.0,elliptic,topmfilter,5,False
0.4915,0.4072,0.5926,0.4253,0.0,0.3587,0.0,1.0,0.0055,0.0,0.3831,5.0,1.0,amazon_sbm,sbm_dp,5,False
0.4967,0.3562,0.6328,0.5986,0.0,0.0,0.0753,0.924,0.0811,0.9183,0.0,5.0,1.0,amazon_sbm,attr_graph_simp,5,False
0.4944,0.3166,0.6371,0.6262,0.0,0.0,0.0251,0.9743,0.0386,0.9529,0.0,5.0,1.0,amazon_sbm,attr_graph,5,False
0.4743,0.4839,0.5134,0.2725,0.5006,0.494,0.4853,0.4804,0.4939,0.4851,0.492,5.0,1.0,amazon_sbm,topmfilter,5,False
0.5145,0.0,0.0062,0.1495,0.6868,0.421,0.6553,0.2268,0.5604,0.2597,0.3514,5.0,1.0,peer_review_sbm,sbm_dp,5,False
0.4723,0.0,0.0005,0.2462,0.3895,0.4863,0.2949,0.4718,0.0847,0.1166,0.0965,5.0,1.0,peer_review_sbm,topmfilter,5,False
