random,clustering_coeff,clustering_coeff_neg,community_detection,truncate_svd_sum10,truncate_svd_max50,degree,degree_neg,agg1,agg2,agg_max,eps,deg_cutoff_rate,dataset,synthetic_algo,iter,non_private
0.4888,0.3666,0.6333,0.5033,0.0,0.2735,0.0,1.0,0.0079,0.147,0.2922,5.0,1.0,yelp,sbm_dp,0,False
0.4959,0.2919,0.5621,0.4581,0.0,0.0,0.3027,0.6909,0.3564,0.6219,0.0,5.0,1.0,yelp,attr_graph_simp,0,False
0.4973,0.0005,0.014,0.1133,0.0,0.0,0.1103,0.1161,0.0,0.0,0.0,5.0,1.0,yelp,attr_graph,0,False
0.5114,0.5035,0.4951,0.3001,0.5116,0.5084,0.4967,0.4745,0.5107,0.5076,0.5088,5.0,1.0,yelp,topmfilter,0,False
0.4704,0.0,0.0,0.0792,0.1118,0.1082,0.1117,0.0842,0.0,0.0,0.0,5.0,1.0,elliptic,sbm_dp,0,False
0.6394,0.0052,0.0117,0.1299,0.0,0.0,0.1102,0.1341,0.0,0.0,0.0,5.0,1.0,elliptic,attr_graph_simp,0,False
0.5927,0.0,0.0,0.9017,0.0,0.0,0.0058,0.9017,0.0,0.0,0.0,5.0,1.0,elliptic,attr_graph,0,False
0.4822,0.0,0.0034,0.0949,0.4922,0.5618,0.415,0.4098,0.344,0.3949,0.3838,5.0,1.0,elliptic,topmfilter,0,False
0.4917,0.4366,0.5632,0.4042,0.0,0.3452,0.0,1.0,0.0076,0.0,0.3744,5.0,1.0,amazon_sbm,sbm_dp,0,False
0.5026,0.3881,0.6036,0.6062,0.0,0.0,0.0661,0.9337,0.0914,0.9277,0.0,5.0,1.0,amazon_sbm,attr_graph_simp,0,False
0.5239,0.3774,0.6131,0.6234,0.0,0.0,0.0106,0.9891,0.0535,0.9832,0.0,5.0,1.0,amazon_sbm,attr_graph,0,False
0.5105,0.5158,0.4815,0.246,0.4794,0.496,0.4634,0.5027,0.4837,0.5149,0.4955,5.0,1.0,amazon_sbm,topmfilter,0,False
0.5307,0.1691,0.0011,0.0325,0.9457,0.1992,0.9178,0.0309,0.0,0.0,0.0,5.0,1.0,peer_review_sbm,sbm_dp,0,False
0.5429,0.0,0.0,0.1831,0.5873,0.4396,0.4621,0.333,0.1676,0.1365,0.1436,5.0,1.0,peer_review_sbm,topmfilter,0,False
