random,clustering_coeff,clustering_coeff_neg,community_detection,truncate_svd_sum10,truncate_svd_max50,degree,degree_neg,agg1,agg2,agg_max,eps,deg_cutoff_rate,dataset,synthetic_algo,iter,non_private
0.5005,0.3593,0.6406,0.4993,0.0,0.2745,0.0,1.0,0.0042,0.0,0.2941,5.0,1.0,yelp,sbm_dp,6,False
0.5023,0.1172,0.8614,0.5631,0.0,0.0,0.2433,0.7566,0.2285,0.7462,0.0,5.0,1.0,yelp,attr_graph_simp,6,False
0.4895,0.0041,0.277,0.4508,0.0,0.0,0.25,0.5295,0.0106,0.2683,0.0,5.0,1.0,yelp,attr_graph,6,False
0.4993,0.5016,0.4969,0.2975,0.5121,0.5143,0.4984,0.4719,0.5149,0.5083,0.5133,5.0,1.0,yelp,topmfilter,6,False
0.4203,0.0,0.0,0.088,0.0532,0.0556,0.0531,0.0914,0.0,0.0,0.0,5.0,1.0,elliptic,sbm_dp,6,False
0.565,0.0047,0.019,0.3346,0.0,0.0,0.0793,0.3934,0.0046,0.0139,0.0,5.0,1.0,elliptic,attr_graph_simp,6,False
0.5915,0.0,0.0,0.5319,0.0,0.0,0.0274,0.5341,0.0,0.0,0.0,5.0,1.0,elliptic,attr_graph,6,False
0.4668,0.0,0.0008,0.2674,0.4355,0.517,0.3672,0.4608,0.2676,0.2941,0.279,5.0,1.0,elliptic,topmfilter,6,False
0.5178,0.4319,0.5679,0.403,0.0,0.355,0.0,1.0,0.006,0.0,0.3813,5.0,1.0,amazon_sbm,sbm_dp,6,False
0.4956,0.3227,0.6108,0.4876,0.0,0.0,0.2348,0.7635,0.2632,0.7307,0.0,5.0,1.0,amazon_sbm,attr_graph_simp,6,False
0.4892,0.0031,0.0075,0.0976,0.0,0.0,0.0913,0.1037,0.0,0.0,0.0,5.0,1.0,amazon_sbm,attr_graph,6,False
0.5137,0.4998,0.4975,0.2531,0.4959,0.5111,0.4781,0.4885,0.4897,0.4863,0.5107,5.0,1.0,amazon_sbm,topmfilter,6,False
0.5963,0.2344,0.0036,0.0,0.9332,0.1958,0.9139,0.0411,0.0,0.0,0.0,5.0,1.0,peer_review_sbm,sbm_dp,6,False
0.4645,0.0,0.0,0.125,0.3971,0.6113,0.3377,0.4313,0.0953,0.1652,0.1593,5.0,1.0,peer_review_sbm,topmfilter,6,False
