random,clustering_coeff,clustering_coeff_neg,community_detection,truncate_svd_sum10,truncate_svd_max50,degree,degree_neg,agg1,agg2,agg_max,eps,deg_cutoff_rate,dataset,synthetic_algo,iter,non_private
0.5066,0.3493,0.6506,0.4883,0.0,0.2712,0.0,1.0,0.0078,0.0001,0.2893,5.0,1.0,yelp,sbm_dp,3,False
0.4859,0.0007,0.0207,0.1397,0.0,0.0,0.127,0.144,0.0,0.0,0.0,5.0,1.0,yelp,attr_graph_simp,3,False
0.5025,0.051,0.141,0.3486,0.0,0.0,0.2893,0.3951,0.0576,0.1427,0.0,5.0,1.0,yelp,attr_graph,3,False
0.4949,0.504,0.4944,0.2914,0.5052,0.5085,0.491,0.4793,0.5032,0.505,0.5075,5.0,1.0,yelp,topmfilter,3,False
0.4916,0.0,0.0,0.0415,0.5552,0.5473,0.5545,0.04,0.0,0.0,0.0,5.0,1.0,elliptic,sbm_dp,3,False
0.4989,0.0,0.0,0.5188,0.0,0.0,0.0,0.7002,0.0,0.0,0.0,5.0,1.0,elliptic,attr_graph_simp,3,False
0.5778,0.0,0.0,0.0719,0.0,0.0,0.0,0.0726,0.0,0.0,0.0,5.0,1.0,elliptic,attr_graph,3,False
0.5045,0.0,0.0012,0.2144,0.5408,0.4584,0.3971,0.396,0.0,0.0,0.0,5.0,1.0,elliptic,topmfilter,3,False
0.5035,0.3998,0.6,0.4241,0.0,0.352,0.0,1.0,0.0078,0.0,0.3874,5.0,1.0,amazon_sbm,sbm_dp,3,False
0.4825,0.3619,0.6211,0.6018,0.0,0.0,0.052,0.9479,0.0601,0.9406,0.0,5.0,1.0,amazon_sbm,attr_graph_simp,3,False
0.4919,0.2873,0.6695,0.6535,0.0,0.0,0.0658,0.9337,0.0848,0.9099,0.0,5.0,1.0,amazon_sbm,attr_graph,3,False
0.5222,0.4966,0.5008,0.2553,0.5031,0.5031,0.4873,0.4798,0.497,0.4977,0.5003,5.0,1.0,amazon_sbm,topmfilter,3,False
0.4295,0.2035,0.027,0.0846,0.8981,0.1396,0.8427,0.0977,0.7834,0.1176,0.1739,5.0,1.0,peer_review_sbm,sbm_dp,3,False
0.5028,0.0,0.0,0.2034,0.4121,0.5379,0.3528,0.4214,0.1056,0.1772,0.1701,5.0,1.0,peer_review_sbm,topmfilter,3,False
