random,clustering_coeff,clustering_coeff_neg,community_detection,truncate_svd_sum10,truncate_svd_max50,degree,degree_neg,agg1,agg2,agg_max,eps,deg_cutoff_rate,dataset,synthetic_algo,iter,non_private
0.5005,0.3659,0.634,0.4865,0.0,0.2794,0.0,1.0,0.0061,0.0,0.3004,2.0,1.0,yelp,sbm_dp,2,False
0.5023,0.0101,0.6994,0.5781,0.0,0.0,0.1852,0.79,0.0394,0.6621,0.0,2.0,1.0,yelp,attr_graph_simp,2,False
0.4931,0.0001,0.2196,0.389,0.0,0.0,0.2639,0.4542,0.0003,0.2196,0.0,2.0,1.0,yelp,attr_graph,2,False
0.4916,0.5013,0.4972,0.3043,0.5041,0.5083,0.4879,0.4823,0.5038,0.5032,0.5071,2.0,1.0,yelp,topmfilter,2,False
0.4207,0.0,0.0,0.0549,0.3879,0.3765,0.3825,0.0594,0.0,0.0,0.0,2.0,1.0,elliptic,sbm_dp,2,False
0.5075,0.5456,0.3696,0.5799,0.0,0.0,0.1047,0.8933,0.4875,0.8945,0.0,2.0,1.0,elliptic,attr_graph_simp,2,False
0.463,0.3766,0.6153,0.2979,0.0,0.0,0.3056,0.6791,0.3242,0.6851,0.0,2.0,1.0,elliptic,attr_graph,2,False
0.4721,0.0,0.0,0.2423,0.4144,0.5462,0.3635,0.4297,0.1232,0.1924,0.1775,2.0,1.0,elliptic,topmfilter,2,False
0.4861,0.4276,0.5721,0.4299,0.0,0.3475,0.0,1.0,0.0066,0.0,0.385,2.0,1.0,amazon_sbm,sbm_dp,2,False
0.4944,0.2564,0.527,0.6484,0.0,0.0,0.1045,0.8823,0.0433,0.7834,0.0,2.0,1.0,amazon_sbm,attr_graph_simp,2,False
0.4934,0.3045,0.6928,0.6444,0.0,0.0,0.0003,0.9997,0.0317,0.9973,0.0,2.0,1.0,amazon_sbm,attr_graph,2,False
0.4972,0.5147,0.4828,0.2596,0.5,0.4916,0.4817,0.4851,0.5074,0.5161,0.4878,2.0,1.0,amazon_sbm,topmfilter,2,False
0.584,0.0,0.0,0.0,0.9862,0.8699,0.993,0.0004,0.0,0.0,0.0,2.0,1.0,peer_review_sbm,sbm_dp,2,False
0.5158,0.0,0.0027,0.1866,0.4595,0.4719,0.3673,0.4272,0.1269,0.1556,0.1495,2.0,1.0,peer_review_sbm,topmfilter,2,False
