random,clustering_coeff,clustering_coeff_neg,community_detection,truncate_svd_sum10,truncate_svd_max50,degree,degree_neg,agg1,agg2,agg_max,eps,deg_cutoff_rate,dataset,synthetic_algo,iter,non_private
0.5056,0.3651,0.6348,0.4772,0.0,0.2752,0.0,1.0,0.0041,0.0,0.2869,5.0,1.0,yelp,sbm_dp,4,False
0.502,0.0053,0.1278,0.3169,0.0,0.0,0.2582,0.3383,0.0164,0.1098,0.0,5.0,1.0,yelp,attr_graph_simp,4,False
0.4947,0.1939,0.4089,0.4329,0.0,0.0,0.3338,0.6155,0.2401,0.4475,0.0,5.0,1.0,yelp,attr_graph,4,False
0.5107,0.5071,0.4914,0.2967,0.5048,0.5047,0.492,0.4783,0.5087,0.5089,0.5046,5.0,1.0,yelp,topmfilter,4,False
0.5126,0.0,0.0,0.089,0.053,0.0532,0.0588,0.093,0.0,0.0,0.0,5.0,1.0,elliptic,sbm_dp,4,False
0.4882,0.0,0.0,0.9841,0.0,0.0,0.0004,0.9936,0.0,0.0,0.0,5.0,1.0,elliptic,attr_graph_simp,4,False
0.5178,0.0,0.0,0.7357,0.0,0.0,0.0,0.7359,0.0,0.0,0.0,5.0,1.0,elliptic,attr_graph,4,False
0.5488,0.0,0.0011,0.1745,0.4308,0.5861,0.3495,0.4603,0.1995,0.2137,0.1924,5.0,1.0,elliptic,topmfilter,4,False
0.493,0.4314,0.5684,0.4235,0.0,0.349,0.0,1.0,0.0062,0.0,0.3797,5.0,1.0,amazon_sbm,sbm_dp,4,False
0.4908,0.3925,0.5847,0.5854,0.0,0.0,0.0551,0.9443,0.089,0.9337,0.0,5.0,1.0,amazon_sbm,attr_graph_simp,4,False
0.5184,0.229,0.3393,0.5454,0.0,0.0,0.1955,0.7456,0.0538,0.5409,0.0,5.0,1.0,amazon_sbm,attr_graph,4,False
0.5037,0.4979,0.4995,0.262,0.4944,0.5075,0.4819,0.4846,0.4974,0.4992,0.5049,5.0,1.0,amazon_sbm,topmfilter,4,False
0.417,0.0872,0.0912,0.0683,0.5561,0.466,0.5031,0.3963,0.5614,0.4438,0.4383,5.0,1.0,peer_review_sbm,sbm_dp,4,False
0.3614,0.0,0.0023,0.2471,0.4976,0.5015,0.4298,0.3669,0.1828,0.1776,0.193,5.0,1.0,peer_review_sbm,topmfilter,4,False
