random,clustering_coeff,clustering_coeff_neg,community_detection,truncate_svd_sum10,truncate_svd_max50,degree,degree_neg,agg1,agg2,agg_max,eps,deg_cutoff_rate,dataset,synthetic_algo,iter,non_private
0.5053,0.3445,0.6554,0.4991,0.0,0.2625,0.0,1.0,0.0048,0.0,0.283,2.0,1.0,yelp,sbm_dp,0,False
0.4994,0.0004,0.6744,0.5889,0.0,0.0,0.148,0.8201,0.0028,0.6726,0.0,2.0,1.0,yelp,attr_graph_simp,0,False
0.5081,0.0737,0.3866,0.4727,0.0,0.0,0.2982,0.5997,0.0597,0.3709,0.0,2.0,1.0,yelp,attr_graph,0,False
0.4954,0.4941,0.5044,0.304,0.5058,0.5041,0.4909,0.4793,0.5021,0.4972,0.5037,2.0,1.0,yelp,topmfilter,0,False
0.3914,0.0,0.0,0.0,1.0,0.8319,1.0,0.0,0.0,0.0,0.0,2.0,1.0,elliptic,sbm_dp,0,False
0.4997,0.0,0.9655,0.003,0.0,0.0,1.0,0.0,0.9564,0.0,0.0,2.0,1.0,elliptic,attr_graph_simp,0,False
0.4913,0.0,0.0,0.0383,0.0,0.0,0.0,0.0383,0.0,0.0,0.0,2.0,1.0,elliptic,attr_graph,0,False
0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,elliptic,topmfilter,0,False
0.4921,0.4348,0.5649,0.409,0.0,0.3959,0.0,1.0,0.0089,0.0,0.4295,2.0,1.0,amazon_sbm,sbm_dp,0,False
0.4891,0.2867,0.4897,0.5739,0.0,0.0,0.1627,0.8194,0.0799,0.715,0.0,2.0,1.0,amazon_sbm,attr_graph_simp,0,False
0.4969,0.0023,0.012,0.1144,0.0,0.0,0.1086,0.117,0.0,0.0,0.0,2.0,1.0,amazon_sbm,attr_graph,0,False
0.4966,0.5112,0.4861,0.2615,0.4998,0.5032,0.4825,0.483,0.5074,0.5014,0.5027,2.0,1.0,amazon_sbm,topmfilter,0,False
0.4596,0.0,0.0,0.0048,0.9911,0.8891,0.9935,0.0003,0.0,0.0,0.0,2.0,1.0,peer_review_sbm,sbm_dp,0,False
0.4981,0.0,0.0009,0.2613,0.5337,0.5094,0.4101,0.3743,0.2742,0.3062,0.2986,2.0,1.0,peer_review_sbm,topmfilter,0,False
